ID;Typ;Kategorie;Frage;Antworten;RichtigeAntwort;Erklaerung
250;offeneFrage;Serverdienste;Was bedeutet FQDN ausgeschrieben?;;Fully Qualified Domain Name;Ein FQDN ist ein vollstaendiger DNS-Name, zum Beispiel server01.drh.de.
251;MultipleChoice;Serverdienste;Welcher DNS-Record zeigt auf eine IPv4-Adresse?;MX|PTR|A|AAAA;3;A-Records verknuepfen Namen mit IPv4-Adressen.
252;MultipleChoice;Serverdienste;Welcher DNS-Record zeigt auf eine IPv6-Adresse?;MX|NS|A|AAAA;4;AAAA-Records verknuepfen Namen mit IPv6-Adressen.
253;MultipleChoice;Serverdienste;Welcher DNS-Record steht fuer einen Aliasnamen?;CNAME|SOA|PTR|MX;1;Ein CNAME zeigt auf einen anderen DNS-Namen.
254;MultipleChoice;Serverdienste;Welcher DNS-Record ermoeglicht Reverse Lookup?;SOA|PTR|MX|SRV;2;PTR kann eine IP-Adresse einem Namen zuordnen.
255;MultipleChoice;Serverdienste;Welcher DNS-Record gibt Mailserver an?;SRV|TXT|MX|A;3;MX nennt zustaendige Mailserver einer Domain.
256;MultipleChoice;Serverdienste;Was bedeutet TTL bei DNS?;Sendeleistung|Subnetzlaenge|Anzahl Router|Cache-Gueltigkeitsdauer;4;Time to Live begrenzt, wie lange ein Record zwischengespeichert werden darf.
257;MultipleChoice;Serverdienste;Was macht ein rekursiver DNS-Resolver?;Beschafft die abschliessende Antwort|Loescht jede DNS-Zone|Vergibt DHCP-Leases|Erstellt einen AD-Forest;1;Er fuehrt noetige weitere Anfragen fuer den Client aus.
258;MultipleChoice;Serverdienste;Was liefert ein iterativ befragter DNS-Server gegebenenfalls?;Den TCP-Quellport des Clients|Verweis zum naechsten zustaendigen Server|Immer eine DHCP-Adresse|Stets eine endgueltige Antwort;2;Eine iterative Antwort kann eine Weiterverweisung enthalten.
259;offeneFrage;Serverdienste;Mit welchem Windows-Befehl leerst du den lokalen DNS-Cache?;;ipconfig /flushdns;Danach muessen benoetigte DNS-Eintraege erneut aufgeloest werden.
260;MultipleChoice;Serverdienste;Was ist ein DHCP-Scope?;Betriebssystem-Kernel|Aktives RAID|Adressbereich fuer die Vergabe|DNS-Mailserver;3;Ein Scope umfasst einen Adressbereich und passende Optionen.
261;MultipleChoice;Serverdienste;Was beschreibt eine DHCP-Lease?;Dauerhaftes Betriebssystemrecht|Manuelles Backup|Einmaliger DNS-Alias|Zeitlich begrenzte IP-Zuweisung;4;Nach Ablauf muss die Adresse erneuert oder neu vergeben werden.
262;MultipleChoice;Serverdienste;Wozu dient ein DHCP-Ausschlussbereich?;Adressen von der Vergabe ausnehmen|Adressen sofort loeschen|DNS-Abfragen umleiten|Router neu starten;1;Statische Adressen sollten vom dynamischen Bereich ausgeschlossen sein.
263;MultipleChoice;Serverdienste;Wozu dient eine DHCP-Reservierung?;IP-Netze verschluesseln|Feste Adresse fuer bestimmten Client|Alle Leases deaktivieren|DNS-Zone replizieren;2;Typisch wird der Client anhand einer MAC-Adresse zugeordnet.
264;MultipleChoice;Serverdienste;Welche DHCPv4-Option liefert das Standardgateway?;015|053|003|006;3;Option 003 Router enthaelt die Gateway-Adresse.
265;MultipleChoice;Serverdienste;Welche DHCPv4-Option liefert DNS-Serveradressen?;015|067|003|006;4;Option 006 DNS Servers wird an Clients verteilt.
266;MultipleChoice;Serverdienste;Warum braucht DHCP oft einen Relay Agent?;Router blockieren DHCP-Broadcasts|DNS benoetigt zwingend RAID|Clients senden nur Multicast|Der Server hat keine MAC-Adresse;1;Router leiten DHCP-Broadcasts zwischen Netzen normalerweise nicht weiter.
267;MultipleChoice;Serverdienste;Wie sendet ein DHCP Relay die Anfrage meist zum DHCP-Server?;Nur ueber HTTPS|Als Unicast|Als Layer-2-Broadcast ueber Router|Nur ueber DNS;2;Das Relay kennt die IP-Adresse des Zielservers.
268;MultipleChoice;Serverdienste;Was benoetigt der DHCP-Server fuer ein weiteres Clientnetz?;Ein NAS fuer jeden Client|Nur einen laengeren Hostnamen|Eigenen passenden Scope|Immer einen zweiten Forest;3;Auch die Gateway-Option muss zum jeweiligen Clientnetz passen.
269;MultipleChoice;Serverdienste;Was kann in AD den Betrieb eines DHCP-Servers verhindern?;Zu grosser Bildschirm|Eine zweite Tastatur|Ein NTFS-Volume|Fehlende DHCP-Autorisierung;4;Ein Windows-DHCP-Server muss in AD-Umgebungen autorisiert sein.
270;MultipleChoice;Serverdienste;Was stellt RRAS als LAN-Router bereit?;Weiterleitung zwischen IP-Netzen|Nur interaktive RDP-Sitzungen|Nur Dateifreigaben|Nur Domaenenanmeldung;1;Routing und RAS kann Routing, NAT und Remotezugriff bereitstellen.
271;MultipleChoice;Serverdienste;Ist RDP dasselbe wie die Remote-Access-Rolle?;Ja|Nein, RDP ist interaktive Fernsteuerung|Nur bei VPN|Nur in Linux;2;"RRAS ermoeglicht Netzwerkzugriff; RDP dient der interaktiven Sitzung."
272;MultipleChoice;Serverdienste;Welche Voraussetzung benoetigt ein Router zwischen zwei getrennten Netzen?;Nur einen Bootloader|Nur einen DNS-Alias|Schnittstelle in jedem Netz|Nur eine MAC-Adresse;3;Dazu kommen Adressierung, Routing und aktivierte Weiterleitung.
273;offeneFrage;Serverdienste;Wie heisst die PowerShell-Eigenschaft fuer IP-Weiterleitung am Interface?;;Forwarding;"Get-NetIPInterface zeigt sie an; Set-NetIPInterface kann sie aendern."
274;offeneFrage;Serverdienste;Welches Cmdlet zeigt die Windows-IP-Routen?;;Get-NetRoute;Die Routingtabelle zeigt Zielnetze und Wege.
275;MultipleChoice;Virtualisierung;Welche Aufgabe hat ein Hypervisor?;Nur DNS-Eintraege erstellen|Dateien archivieren|USV-Batterien laden|Ressourcen virtuellen Maschinen zuweisen;4;Er verwaltet CPU, Arbeitsspeicher, Storage und Netzwerk der VMs.
276;MultipleChoice;Virtualisierung;Was ist ein Typ-1-Hypervisor?;Virtualisierungsschicht auf Hardware|Programm auf einem Host-Betriebssystem|Ein NAS-Protokoll|Ein Dateisystem;1;Typ 1 laeuft direkt auf Hardware beziehungsweise bildet die unterste Virtualisierungsschicht.
277;MultipleChoice;Virtualisierung;Welches Produkt ist ein Typ-2-Hypervisor?;Xen|VirtualBox|Hyper-V|VMware ESXi;2;VirtualBox wird als Anwendung auf einem Host-Betriebssystem ausgefuehrt.
278;MultipleChoice;Virtualisierung;Welche Aussage beschreibt Hyper-V unter Windows korrekt?;Es ist ein Typ-2-Hypervisor|Es ersetzt den Bootloader|Windows laeuft in der Root-Partition|Es laeuft nur in einem Browser;3;Hyper-V selbst liegt unter der Windows-Verwaltungspartition.
279;MultipleChoice;Virtualisierung;Wofuer steht vCPU in einer VM?;Separate physische CPU im Gast|Ein Massenspeicherformat|Ein VLAN-Tag|Virtuell zugewiesene CPU-Ressource;4;vCPUs nutzen die Prozessorressourcen des Hosts.
280;MultipleChoice;Virtualisierung;Wer ist bei Virtualisierung der Host?;Physisches Traegersystem|Nur die virtuelle Festplatte|Nur ein DNS-Eintrag|Jede Anwendung im Gast;1;Auf dem Host laufen Hypervisor und virtuelle Maschinen.
281;MultipleChoice;Virtualisierung;Womit sind VMs an einem privaten Hyper-V-Switch verbunden?;Nur mit dem Internet|Nur mit anderen VMs am Switch|Direkt mit dem physischen LAN|Mit dem Host und externem LAN;2;Ein privater Switch bietet weder Host- noch Aussenanbindung.
282;MultipleChoice;Virtualisierung;Wen verbindet ein interner Hyper-V-Switch?;Nur externe Router|Nur ein SAN|VMs und Host|Nur VMs und physisches LAN;3;Ein interner Switch hat keine direkte Anbindung an das physische Netz.
283;MultipleChoice;Virtualisierung;Was ermoeglicht ein externer Hyper-V-Switch?;Nur private VM-Kommunikation|Nur lokale Backups|Ausschliesslich SAN-Zugriff|Verbindung zum physischen Netz;4;Der externe Switch bindet die VM an eine physische Netzwerkschnittstelle.
284;MultipleChoice;Virtualisierung;Was brauchen VMs in getrennten virtuellen Netzen zur Kommunikation?;Einen Router|Nur denselben Namen|Immer eine USV|Eine kleinere Festplatte;1;Zwischen unterschiedlichen IP-Netzen ist Routing notwendig.
285;MultipleChoice;Virtualisierung;Was kennzeichnet eine Generation-2-VM unter Hyper-V?;Nur IDE-Festplatten|UEFI und Secure Boot|Nur Legacy-BIOS|Keinen virtuellen Prozessor;2;Generation 2 stellt moderne VM-Firmwarefunktionen bereit.
286;MultipleChoice;Virtualisierung;Ist ein VM-Checkpoint ein vollwertiges Backup?;Nur bei externem Switch|Ja, immer|Nein, kein Ersatz fuer ein Backup|Nur bei Linux;3;Checkpoints sind vor allem fuer kurzfristige Verwaltungs- und Testzwecke gedacht.
287;MultipleChoice;Virtualisierung;Was speichert eine differenzierende virtuelle Festplatte?;Nur den Arbeitsspeicher|Nur DNS-Abfragen|Nur die MAC-Adresse|Aenderungen gegenueber einer Basisdatei;4;Sie ist von der uebergeordneten virtuellen Festplatte abhaengig.
288;MultipleChoice;Virtualisierung;Welche Folge kann Ueberbelegung von RAM und CPU haben?;Leistungsprobleme bei VMs|Mehr physische Kerne|Automatische Datensicherung|Keine Auswirkung;1;Mehrere VMs konkurrieren um begrenzte Hostressourcen.
289;MultipleChoice;Virtualisierung;Was muss eine VM an einem internen NAT-Switch fuer Internetzugang kennen?;Nur einen Checkpoint|IP, Praefix, Gateway und DNS|Nur eine MAC-Adresse|Nur den Hostnamen;2;Passende IP-Konfiguration und eine funktionierende NAT-Regel sind erforderlich.
290;offeneFrage;Virtualisierung;Welches PowerShell-Cmdlet zeigt virtuelle Switches unter Hyper-V?;;Get-VMSwitch;Es listet Switches und ihre Typen auf.
291;offeneFrage;Virtualisierung;Welches PowerShell-Cmdlet zeigt laufende und ausgeschaltete Hyper-V-VMs?;;Get-VM;Get-VM listet virtuelle Maschinen und deren Status.
292;offeneFrage;Virtualisierung;Welche IP hat der AD-/DNS-Server im dokumentierten Netz 192.168.10.0/24?;;192.168.10.30;In der Uebungsumgebung dient dieser Server als DC und interner DNS.
293;MultipleChoice;Speicher;Was ist eine Partition?;Eine CPU-Einheit|Ein DNS-Eintrag|Abgegrenzter Datentraegerbereich|Ein eigenes Netzprotokoll;3;Eine Partition liegt innerhalb eines physischen oder virtuellen Datentraegers.
294;MultipleChoice;Speicher;Was ist ein Volume?;Immer eine einzelne HDD|Immer ein anderes Netzwerk|Ausschliesslich eine RAID-Platte|Nutzbarer logischer Speicherbereich;4;Ein Volume muss nicht zwingend genau einer Partition entsprechen.
295;MultipleChoice;Speicher;Welche Partitionsstruktur ist fuer moderne UEFI-Systeme ueblich?;GPT|MBR|FAT32|NFS;1;GPT ist fuer moderne Installationen meist die passende Wahl.
296;MultipleChoice;Speicher;Wie viele primaere Partitionen bietet ein klassischer MBR maximal?;2|4|8|128;2;Alternativ kann eine erweiterte Partition genutzt werden.
297;MultipleChoice;Speicher;Welche Datentraegergroesse begrenzt MBR typischerweise praktisch?;128 TiB|256 MiB|2 TiB|4 GiB;3;"Die praktische Grenze haengt vom Sektorformat ab; haeufig werden rund 2 TiB genannt."
298;MultipleChoice;Speicher;Was bietet GPT gegenueber MBR unter anderem?;Nur vier primaere Partitionen|Zwingend FAT32|Keine Partitionstabelle|Kopien und Pruefsummen der Metadaten;4;GPT speichert Schutzinformationen und eine zweite Partitionstabelle.
299;MultipleChoice;Speicher;Welcher Schritt kommt nach dem Initialisieren eines leeren Datentraegers?;Partition oder Volume erstellen|Sofort alle Daten archivieren|DNS-Server installieren|CPU austauschen;1;Anschliessend folgen Formatierung und Bereitstellung.
300;MultipleChoice;Speicher;Welches PowerShell-Cmdlet zeigt physische und virtuelle Datentraeger?;Get-WindowsFeature|Get-Disk|Get-VMSwitch|Get-ADUser;2;Get-Disk zeigt erkannte Datentraeger.
301;MultipleChoice;Speicher;Welches Cmdlet formatiert ein Windows-Volume?;New-ADUser|Get-VM|Format-Volume|Get-NetAdapter;3;Das Zieldatentraeger-Volume ist vorher sorgfaeltig zu pruefen.
302;MultipleChoice;Speicher;Welche Funktion bietet NTFS typischerweise?;Nur Dateien bis 4 GiB|Nur Linux-Mounts|Nur Blockzugriff ueber SAN|ACLs und Journaling;4;NTFS unterstuetzt ausserdem etwa Komprimierung und Quotas.
303;MultipleChoice;Speicher;Welche Dateiobergrenze gilt bei FAT32?;4 GiB pro Datei|2 TiB pro Datei|16 KiB pro Datei|Keine Groessenbeschraenkung;1;Eine einzelne FAT32-Datei muss kleiner als 4 GiB sein.
304;MultipleChoice;Speicher;Welches Dateisystem eignet sich oft fuer grosse Dateien auf USB-Medien?;Nur ext2|exFAT|FAT12|Nur ReFS;2;exFAT bietet gute Plattformkompatibilitaet fuer Wechselmedien.
305;MultipleChoice;Speicher;Fuer welche Faelle wird ReFS vorrangig eingesetzt?;Nur Mobiltelefone|Nur optische Discs|Ausgewaehlte Windows-Storage-Szenarien|Jeden BIOS-Startdatentraeger;3;ReFS hat andere Einsatzgebiete als NTFS und ist nicht pauschal bootfaehig.
306;MultipleChoice;Speicher;Was bewirkt Journaling in einem Dateisystem?;Alle Dateien dauerhaft archivieren|Daten stets verschluesseln|RAID-Paritaet berechnen|Aenderungen an Strukturen protokollieren;4;Das Journal erleichtert die Konsistenzpruefung und Wiederherstellung nach Abstuerzen.
307;MultipleChoice;Speicher;Was regelt eine ACL?;Zugriffsrechte|Luefterdrehzahl|Spannungsversorgung|DNS-Cache-Zeit;1;Eine Access Control List enthaelt Regeln fuer Benutzer oder Gruppen.
308;MultipleChoice;Speicher;Wozu dient eine Quota?;CPU-Kerne zaehlen|Speicherverbrauch begrenzen|Netzspannung regeln|VLANs verbinden;2;Quotas koennen Speicherplatz fuer Nutzer oder Gruppen limitieren.
309;MultipleChoice;Speicher;Was ist ein Dateisystem-Cluster?;Ein RAID-Controller|Eine DNS-Zone|Kleinste zuweisbare Speichereinheit|Vollstaendiger SAN-Switch;3;Eine sehr grosse Clustergroesse kann bei vielen kleinen Dateien Platz verschwenden.
310;MultipleChoice;Speicher;Was beschreibt die Chunk-Groesse eines RAID?;Anzahl Dateien in NTFS|Groesse des DNS-Pakets|Groesse einer USV|Abschnitt pro Laufwerk vor Verteilung;4;Ein Stripe umfasst zusammengehoerige Chunks beteiligter Laufwerke.
311;MultipleChoice;Speicher;Sind Clustergroesse und RAID-Chunk-Groesse dasselbe?;Nein, unterschiedliche Ebenen|Nur bei GPT|Nur bei NAS|Ja, stets;1;"Cluster gehoeren zum Dateisystem; Chunks zur RAID-Verteilung."
312;MultipleChoice;Speicher;Welche Anbindung beschreibt DAS?;Nur Bandlaufwerke|Speicher direkt am Rechner|Dateifreigabe ueber Netzwerk|Blockspeicher ueber Storage-Netz;2;DAS ist direkt angebundener Speicher ohne separates Storage-Netz.
313;MultipleChoice;Speicher;Welche Zugriffsart stellt ein NAS typischerweise bereit?;Nur CPU-Register|Nur Tape-Archiv|Dateizugriff ueber das Netz|Ausschliesslich lokalen Blockzugriff;3;NAS bietet Dateifreigaben beispielsweise ueber SMB oder NFS.
314;MultipleChoice;Speicher;Welches Protokoll ist fuer NAS-Dateifreigaben ueblich?;iSCSI|Fibre Channel|PCIe|SMB;4;SMB ist besonders in Windows-Umgebungen verbreitet.
315;MultipleChoice;Speicher;Welche Zugriffsart stellt ein SAN typischerweise bereit?;Blockzugriff ueber Storage-Netz|Nur Dateifreigaben per SMB|Direkte USB-Verbindung|Nur Druckdienste;1;Server erkennen vom SAN bereitgestellte LUNs als Blockgeraete.
316;MultipleChoice;Speicher;Welche Technik kann Blockspeicher per IP-Netz bereitstellen?;DNS|iSCSI|SMB|NFS;2;iSCSI transportiert SCSI-Befehle ueber TCP/IP.
317;MultipleChoice;Speicher;Was ist eine LUN im SAN-Kontext?;Ein DNS-Alias|Ein Sicherungszeitplan|Praesentierte logische Speichereinheit|Eine Benutzeranmeldung;3;Eine LUN kann einem Server als Blockgeraet zur Verfuegung stehen.
318;MultipleChoice;Speicher;Was bewirkt Multipathing in einem SAN?;Dateien automatisch archivieren|Nur VLANs vergeben|Backups pruefen|Alternative Speicherpfade nutzen;4;Faellt ein Pfad aus, kann ein anderer den Speicherzugriff erhalten.
319;MultipleChoice;Speicher;Was leistet RAID 0?;Striping ohne Redundanz|Spiegelung zweier Platten|Zwei Paritaeten|Automatische Sicherung;1;RAID 0 bietet keine Ausfallsicherung fuer ein Laufwerk.
320;MultipleChoice;Speicher;Was leistet RAID 1 bei zwei Laufwerken?;Datenarchivierung|Spiegelung|Zwei verteilte Paritaeten|Nur Striping;2;"Die Daten liegen auf beiden Laufwerken; die Nutzkapazitaet entspricht ungefaehr einem."
321;MultipleChoice;Speicher;Wie viele Laufwerke darf RAID 5 typischerweise verlieren, ohne Datenverlust?;Alle|Keines|Eines|Zwei;3;RAID 5 nutzt verteilte Paritaet und benoetigt mindestens drei Laufwerke.
322;MultipleChoice;Speicher;Wie viele Laufwerke darf RAID 6 typischerweise verlieren, ohne Datenverlust?;Drei|Keines|Eines|Zwei;4;RAID 6 kann zwei gleichzeitige Laufwerksausfaelle tolerieren.
323;MultipleChoice;Speicher;Wie viele Laufwerke benoetigt RAID 6 mindestens?;4|8|2|3;1;Zwei Paritaetsanteile benoetigen mindestens vier Laufwerke.
324;MultipleChoice;Speicher;Welche Nutzkapazitaet hat RAID 5 aus 4 × 1 TB?;2 TB|3 TB|4 TB|1 TB;2;Bei gleichen Platten gilt (n - 1) × 1 TB.
325;MultipleChoice;Speicher;Welche Nutzkapazitaet hat RAID 6 aus 4 × 1 TB?;4 TB|1 TB|2 TB|3 TB;3;Bei gleichen Platten gilt (n - 2) × 1 TB.
326;MultipleChoice;Speicher;Was kombiniert RAID 10?;Nur zwei Paritaeten|Nur Band und Cloud|Nur Volumes|Spiegelpaare mit Striping;4;RAID 10 benoetigt mindestens vier Laufwerke.
327;MultipleChoice;Speicher;Ersetzt RAID eine Datensicherung?;Nein|Nur RAID 6|Nur RAID 10|Ja;1;RAID schuetzt etwa nicht gegen versehentliches Loeschen oder Schadsoftware.
328;offeneFrage;Speicher;Wie lautet die Formel fuer nutzbare Kapazitaet von RAID 5 bei gleich grossen Platten?;;(n - 1) × Plattengroesse;Bei n Platten geht rechnerisch die Kapazitaet einer Platte fuer Paritaet drauf.
329;offeneFrage;Speicher;Wie viele Laufwerke benoetigt RAID 5 mindestens?;;3;Die Paritaetsinformation wird auf die Laufwerke verteilt.
330;offeneFrage;Speicher;Welches PowerShell-Cmdlet initialisiert einen Windows-Datentraeger mit GPT?;;Initialize-Disk;Der Parameter -PartitionStyle GPT waehlt die Partitionsstruktur.
331;offeneFrage;Speicher;Wofuer steht DAS ausgeschrieben?;;Direct Attached Storage;Der Speicher ist direkt mit dem Host verbunden.
332;offeneFrage;Speicher;Wofuer steht NAS ausgeschrieben?;;Network Attached Storage;Clients nutzen dort typischerweise Dateifreigaben ueber das Netz.
333;offeneFrage;Speicher;Wofuer steht SAN ausgeschrieben?;;Storage Area Network;Es stellt zentralen Blockspeicher ueber ein Storage-Netz bereit.
334;MultipleChoice;Datensicherung;Was enthaelt eine Vollsicherung?;Nur Dateinamen|Alle ausgewaehlten Daten|Nur Aenderungen seit gestern|Nur neue DNS-Eintraege;2;Fuer die Wiederherstellung genuegt normalerweise die passende Vollsicherung.
335;MultipleChoice;Datensicherung;Was enthaelt eine differenzielle Sicherung?;Alle Daten bei jedem Lauf|Nur Benutzerrechte|Aenderungen seit letzter Vollsicherung|Nur Aenderungen seit letztem Inkrement;3;Zum Restore benoetigt man die Vollsicherung und die letzte differenzielle Sicherung.
336;MultipleChoice;Datensicherung;Was enthaelt eine inkrementelle Sicherung?;Immer den kompletten Datenbestand|Nur unveraenderte Dateien|Nur die Partitionstabelle|Aenderungen seit letzter Sicherung;4;Zur Wiederherstellung braucht man die Vollsicherung und alle erforderlichen Inkremente.
337;MultipleChoice;Datensicherung;Welche Kette stellt ein inkrementelles Backup wieder her?;Vollbackup und benoetigte Inkremente|Nur letztes Inkrement|Nur aeltestes Inkrement|Nur ein RAID-Rebuild;1;Die Inkremente bauen aufeinander auf.
338;MultipleChoice;Datensicherung;Wofuer steht die 3 in der 3-2-1-Backupregel?;Drei Nutzer|Drei Kopien insgesamt|Drei Partitionen|Drei Tage Laufzeit;2;Gemeint sind Produktivdaten und mindestens zwei Sicherungskopien.
339;MultipleChoice;Datensicherung;Wofuer steht die 1 in der 3-2-1-Backupregel?;Ein einziges Passwort|Ein Server ohne UPS|Eine externe/offline Kopie|Ein Laufwerk im RAID;3;Eine Kopie sollte getrennt beziehungsweise extern, offline oder unveraenderbar sein.
340;MultipleChoice;Datensicherung;Was bedeutet RPO?;Maximale CPU-Auslastung|Benoetigte USV-Leistung|Dauer der Vollsicherung|Maximal tolerierbarer Datenverlust;4;Recovery Point Objective wird als Zeit seit dem letzten wiederherstellbaren Zustand angegeben.
341;MultipleChoice;Datensicherung;Was bedeutet RTO?;Maximal tolerierbare Wiederanlaufzeit|Zeit zwischen Snapshots|Speicherbedarf des RAID|DNS-Antwortzeit;1;Recovery Time Objective legt fest, wann der Betrieb wieder laufen muss.
342;MultipleChoice;Datensicherung;Wozu dienen Wiederherstellungstests?;Anmeldezeit verkuerzen|Nutzbarkeit der Sicherung nachweisen|Dateien dauerhaft archivieren|RAID-Paritaet verringern;2;Ein erfolgreich geschriebener Backupjob beweist noch keinen funktionierenden Restore.
343;MultipleChoice;Datensicherung;Was ist Hauptzweck einer Datenarchivierung?;Arbeitsspeicher erweitern|Router ersetzen|Langfristige Aufbewahrung|Sofortiges Betriebssystem-Restore;3;Archivierung bewahrt ausgewaehlte Informationen langfristig und nachvollziehbar auf.
344;MultipleChoice;Datensicherung;Kann ein Datenarchiv ein Backup ersetzen?;Nur bei RAID 5|Nur bei NTFS|Ja, immer|Nein, auch Archivdaten brauchen Schutz;4;Backup und Archiv verfolgen unterschiedliche Ziele.
345;MultipleChoice;Datensicherung;Was ist eine USV?;Unterbrechungsfreie Stromversorgung|Universeller Server-Verbund|USB-Verteilersystem|Unformatierter Systemspeicher;1;Sie ueberbrueckt Stromausfaelle und ermoeglicht kontrolliertes Herunterfahren.
346;MultipleChoice;Datensicherung;Welche USV-Art verwendet das Doppelwandlerprinzip?;VI|VFI|Alle zwingend|VFD;2;Bei VFI wird der Verbraucher dauerhaft ueber Gleich- und Wechselrichter versorgt.
347;MultipleChoice;Datensicherung;Welche USV-Art gleicht einige Spannungsschwankungen ohne Batteriewechsel aus?;USV ist kein Geraet|VFD|VI|RAID 1;3;VI heisst Line-Interactive-USV.
348;MultipleChoice;Datensicherung;Welche USV-Art hat ueblicherweise eine kurze Umschaltzeit bei Netzausfall?;VFI|Nur ein RAID|Ein NAS|VFD;4;VFD ist eine Offline-USV und schaltet bei Ausfall um.
349;MultipleChoice;Datensicherung;Welche Groesse wird in Voltampere angegeben?;Scheinleistung|Wirkleistung|Stromstaerke|Widerstand;1;Wirkleistung wird in Watt, Scheinleistung in VA angegeben.
350;MultipleChoice;Datensicherung;Was ist bei der Dimensionierung einer USV zu beachten?;Nur Anzahl IP-Adressen zaehlen|Watt- und VA-Grenze einhalten|Nur die Watt-Grenze beachten|Nur DNS pruefen;2;Auch Ueberbrueckungszeit, Einschaltstrom und Reserve spielen eine Rolle.
351;offeneFrage;Datensicherung;Wofuer steht RPO ausgeschrieben?;;Recovery Point Objective;Es beschreibt den maximal tolerierbaren Zeitraum des Datenverlusts.
352;offeneFrage;Datensicherung;Wofuer steht RTO ausgeschrieben?;;Recovery Time Objective;Es beschreibt die maximal tolerierbare Wiederherstellungszeit.
353;offeneFrage;Datensicherung;Welche drei Generationen umfasst das Grossvater-Vater-Sohn-Prinzip?;;Sohn, Vater, Grossvater;Es kombiniert beispielsweise taegliche, woechentliche und monatliche Sicherungen.
